Age,Age_Bands,Area,Gender,Population
7,5 - 9,Orkney Islands,Female,108
7,5 - 9,Perth and Kinross,Female,795
7,5 - 9,Renfrewshire,Female,913
7,5 - 9,Scottish Borders,Female,596
7,5 - 9,Shetland Islands,Female,136
7,5 - 9,South Ayrshire,Female,574
7,5 - 9,South Lanarkshire,Female,1773
7,5 - 9,Stirling,Female,489
7,5 - 9,West Dunbartonshire,Female,508
7,5 - 9,West Lothian,Female,1172
8,5 - 9,Aberdeen City,Male,1079
8,5 - 9,Aberdeenshire,Male,1740
8,5 - 9,Angus,Male,656
8,5 - 9,Argyll and Bute,Male,447
8,5 - 9,City of Edinburgh,Male,2612
8,5 - 9,Clackmannanshire,Male,322
8,5 - 9,Dumfries and Galloway,Male,749
8,5 - 9,Dundee City,Male,735
8,5 - 9,East Ayrshire,Male,716
8,5 - 9,East Dunbartonshire,Male,620
8,5 - 9,East Lothian,Male,675
8,5 - 9,East Renfrewshire,Male,636
8,5 - 9,Falkirk,Male,925
8,5 - 9,Fife,Male,2178
8,5 - 9,Glasgow City,Male,3131
8,5 - 9,Highland,Male,1379
8,5 - 9,Inverclyde,Male,453
8,5 - 9,Midlothian,Male,494
8,5 - 9,Moray,Male,614
8,5 - 9,Na h-Eileanan Siar,Male,166
8,5 - 9,North Ayrshire,Male,752
8,5 - 9,North Lanarkshire,Male,2206
8,5 - 9,Orkney Islands,Male,110
8,5 - 9,Perth and Kinross,Male,802
8,5 - 9,Renfrewshire,Male,979
8,5 - 9,Scottish Borders,Male,586
8,5 - 9,Shetland Islands,Male,129
8,5 - 9,South Ayrshire,Male,595
8,5 - 9,South Lanarkshire,Male,1819
8,5 - 9,Stirling,Male,505
8,5 - 9,West Dunbartonshire,Male,527
8,5 - 9,West Lothian,Male,1249
8,5 - 9,Aberdeen City,Female,1108
8,5 - 9,Aberdeenshire,Female,1512
8,5 - 9,Angus,Female,653
8,5 - 9,Argyll and Bute,Female,427
8,5 - 9,City of Edinburgh,Female,2521
8,5 - 9,Clackmannanshire,Female,312
8,5 - 9,Dumfries and Galloway,Female,804
8,5 - 9,Dundee City,Female,771
8,5 - 9,East Ayrshire,Female,647
8,5 - 9,East Dunbartonshire,Female,599
8,5 - 9,East Lothian,Female,657
8,5 - 9,East Renfrewshire,Female,589
8,5 - 9,Falkirk,Female,953
8,5 - 9,Fife,Female,2087
8,5 - 9,Glasgow City,Female,2991
8,5 - 9,Highland,Female,1305
8,5 - 9,Inverclyde,Female,415
8,5 - 9,Midlothian,Female,561
8,5 - 9,Moray,Female,600
8,5 - 9,Na h-Eileanan Siar,Female,131
8,5 - 9,North Ayrshire,Female,737
8,5 - 9,North Lanarkshire,Female,1995
8,5 - 9,Orkney Islands,Female,133
8,5 - 9,Perth and Kinross,Female,768
8,5 - 9,Renfrewshire,Female,1010
8,5 - 9,Scottish Borders,Female,655
8,5 - 9,Shetland Islands,Female,106
8,5 - 9,South Ayrshire,Female,582
8,5 - 9,South Lanarkshire,Female,1789
8,5 - 9,Stirling,Female,475
8,5 - 9,West Dunbartonshire,Female,527
8,5 - 9,West Lothian,Female,1178
9,5 - 9,Aberdeen City,Male,1038
9,5 - 9,Aberdeenshire,Male,1613
9,5 - 9,Angus,Male,603
9,5 - 9,Argyll and Bute,Male,422
9,5 - 9,City of Edinburgh,Male,2422
9,5 - 9,Clackmannanshire,Male,287
9,5 - 9,Dumfries and Galloway,Male,830
9,5 - 9,Dundee City,Male,733
9,5 - 9,East Ayrshire,Male,693
9,5 - 9,East Dunbartonshire,Male,575
9,5 - 9,East Lothian,Male,633
9,5 - 9,East Renfrewshire,Male,636
9,5 - 9,Falkirk,Male,976
9,5 - 9,Fife,Male,2047
9,5 - 9,Glasgow City,Male,2911
9,5 - 9,Highland,Male,1321
9,5 - 9,Inverclyde,Male,440
9,5 - 9,Midlothian,Male,527
9,5 - 9,Moray,Male,565
9,5 - 9,Na h-Eileanan Siar,Male,155
9,5 - 9,North Ayrshire,Male,790
9,5 - 9,North Lanarkshire,Male,2133
9,5 - 9,Orkney Islands,Male,134
9,5 - 9,Perth and Kinross,Male,821
9,5 - 9,Renfrewshire,Male,945
9,5 - 9,Scottish Borders,Male,599
9,5 - 9,Shetland Islands,Male,144
9,5 - 9,South Ayrshire,Male,594
9,5 - 9,South Lanarkshire,Male,1799
9,5 - 9,Stirling,Male,491
9,5 - 9,West Dunbartonshire,Male,513
9,5 - 9,West Lothian,Male,1184
9,5 - 9,Aberdeen City,Female,1012
9,5 - 9,Aberdeenshire,Female,1515
9,5 - 9,Angus,Female,590
9,5 - 9,Argyll and Bute,Female,401
9,5 - 9,City of Edinburgh,Female,2275
9,5 - 9,Clackmannanshire,Female,280
9,5 - 9,Dumfries and Galloway,Female,771
9,5 - 9,Dundee City,Female,723
9,5 - 9,East Ayrshire,Female,640
9,5 - 9,East Dunbartonshire,Female,571
9,5 - 9,East Lothian,Female,611
9,5 - 9,East Renfrewshire,Female,598
9,5 - 9,Falkirk,Female,906
9,5 - 9,Fife,Female,1984
9,5 - 9,Glasgow City,Female,2869
9,5 - 9,Highland,Female,1272
9,5 - 9,Inverclyde,Female,388
9,5 - 9,Midlothian,Female,478
9,5 - 9,Moray,Female,535
9,5 - 9,Na h-Eileanan Siar,Female,150
9,5 - 9,North Ayrshire,Female,766
9,5 - 9,North Lanarkshire,Female,1967
9,5 - 9,Orkney Islands,Female,115
9,5 - 9,Perth and Kinross,Female,764
9,5 - 9,Renfrewshire,Female,919
9,5 - 9,Scottish Borders,Female,621
9,5 - 9,Shetland Islands,Female,135
9,5 - 9,South Ayrshire,Female,554
9,5 - 9,South Lanarkshire,Female,1728
9,5 - 9,Stirling,Female,513
9,5 - 9,West Dunbartonshire,Female,497
9,5 - 9,West Lothian,Female,1124
10,10 - 14,Aberdeen City,Male,979
10,10 - 14,Aberdeenshire,Male,1587
10,10 - 14,Angus,Male,622
10,10 - 14,Argyll and Bute,Male,452
10,10 - 14,City of Edinburgh,Male,2284
10,10 - 14,Clackmannanshire,Male,288
10,10 - 14,Dumfries and Galloway,Male,805
10,10 - 14,Dundee City,Male,710
10,10 - 14,East Ayrshire,Male,651
10,10 - 14,East Dunbartonshire,Male,647
10,10 - 14,East Lothian,Male,677
10,10 - 14,East Renfrewshire,Male,601
10,10 - 14,Falkirk,Male,893
10,10 - 14,Fife,Male,2036
10,10 - 14,Glasgow City,Male,2890
10,10 - 14,Highland,Male,1328
10,10 - 14,Inverclyde,Male,392
10,10 - 14,Midlothian,Male,529
10,10 - 14,Moray,Male,535
10,10 - 14,Na h-Eileanan Siar,Male,151
10,10 - 14,North Ayrshire,Male,775
10,10 - 14,North Lanarkshire,Male,2066
