Age,Gender,Pop_Count_Projection,SIM,Year,Pop_Count_Reference,index_col
78,Female,23,0,2019,27,Female78
79,Female,17,0,2019,20,Female79
80,Female,20,0,2019,14,Female80
81,Female,16,0,2019,14,Female81
82,Female,16,0,2019,14,Female82
83,Female,11,0,2019,23,Female83
84,Female,11,0,2019,15,Female84
85,Female,11,0,2019,13,Female85
86,Female,13,0,2019,11,Female86
87,Female,6,0,2019,9,Female87
88,Female,10,0,2019,14,Female88
89,Female,5,0,2019,3,Female89
90+,Female,14,0,2019,39,Female90+
0,Male,0,0,2019,24,Male0
1,Male,0,0,2019,13,Male1
2,Male,0,0,2019,22,Male2
3,Male,24,0,2019,16,Male3
4,Male,13,0,2019,19,Male4
5,Male,22,0,2019,25,Male5
6,Male,16,0,2019,37,Male6
7,Male,19,0,2019,23,Male7
8,Male,25,0,2019,26,Male8
9,Male,37,0,2019,30,Male9
10,Male,23,0,2019,34,Male10
11,Male,26,0,2019,27,Male11
12,Male,30,0,2019,30,Male12
13,Male,34,0,2019,24,Male13
14,Male,27,0,2019,19,Male14
15,Male,30,0,2019,23,Male15
16,Male,24,0,2019,18,Male16
17,Male,19,0,2019,33,Male17
18,Male,23,0,2019,27,Male18
19,Male,18,0,2019,17,Male19
20,Male,33,0,2019,24,Male20
21,Male,26,0,2019,29,Male21
22,Male,17,0,2019,22,Male22
23,Male,24,0,2019,12,Male23
24,Male,29,0,2019,20,Male24
25,Male,22,0,2019,12,Male25
26,Male,12,0,2019,23,Male26
27,Male,20,0,2019,25,Male27
28,Male,12,0,2019,28,Male28
29,Male,23,0,2019,24,Male29
30,Male,25,0,2019,18,Male30
31,Male,27,0,2019,14,Male31
32,Male,24,0,2019,21,Male32
33,Male,18,0,2019,19,Male33
34,Male,14,0,2019,14,Male34
35,Male,21,0,2019,18,Male35
36,Male,19,0,2019,18,Male36
37,Male,14,0,2019,23,Male37
38,Male,18,0,2019,16,Male38
39,Male,17,0,2019,24,Male39
40,Male,22,0,2019,23,Male40
41,Male,16,0,2019,25,Male41
42,Male,24,0,2019,22,Male42
43,Male,23,0,2019,32,Male43
44,Male,25,0,2019,31,Male44
45,Male,21,0,2019,36,Male45
46,Male,32,0,2019,32,Male46
47,Male,31,0,2019,31,Male47
48,Male,35,0,2019,45,Male48
49,Male,32,0,2019,32,Male49
50,Male,31,0,2019,32,Male50
51,Male,44,0,2019,41,Male51
52,Male,30,0,2019,27,Male52
53,Male,30,0,2019,42,Male53
54,Male,41,0,2019,35,Male54
55,Male,27,0,2019,38,Male55
56,Male,41,0,2019,51,Male56
57,Male,33,0,2019,40,Male57
58,Male,38,0,2019,49,Male58
59,Male,50,0,2019,49,Male59
60,Male,39,0,2019,29,Male60
61,Male,47,0,2019,39,Male61
62,Male,46,0,2019,30,Male62
63,Male,28,0,2019,40,Male63
64,Male,34,0,2019,38,Male64
65,Male,30,0,2019,39,Male65
66,Male,39,0,2019,31,Male66
67,Male,38,0,2019,29,Male67
68,Male,38,0,2019,43,Male68
69,Male,30,0,2019,48,Male69
70,Male,27,0,2019,42,Male70
71,Male,40,0,2019,20,Male71
72,Male,44,0,2019,29,Male72
73,Male,38,0,2019,21,Male73
74,Male,17,0,2019,17,Male74
75,Male,25,0,2019,19,Male75
76,Male,19,0,2019,23,Male76
77,Male,15,0,2019,20,Male77
78,Male,15,0,2019,15,Male78
79,Male,18,0,2019,19,Male79
80,Male,11,0,2019,14,Male80
81,Male,12,0,2019,16,Male81
82,Male,15,0,2019,8,Male82
83,Male,7,0,2019,11,Male83
84,Male,13,0,2019,7,Male84
85,Male,7,0,2019,8,Male85
86,Male,7,0,2019,6,Male86
87,Male,7,0,2019,3,Male87
88,Male,6,0,2019,13,Male88
89,Male,3,0,2019,4,Male89
90+,Male,5,0,2019,17,Male90+
0,Female,0,0,2020,21,Female0
1,Female,0,0,2020,25,Female1
2,Female,0,0,2020,14,Female2
3,Female,0,0,2020,29,Female3
4,Female,21,0,2020,19,Female4
5,Female,25,0,2020,18,Female5
6,Female,14,0,2020,25,Female6
7,Female,29,0,2020,29,Female7
8,Female,19,0,2020,16,Female8
9,Female,18,0,2020,29,Female9
10,Female,25,0,2020,30,Female10
11,Female,29,0,2020,20,Female11
12,Female,16,0,2020,25,Female12
13,Female,29,0,2020,27,Female13
14,Female,30,0,2020,17,Female14
15,Female,20,0,2020,35,Female15
16,Female,25,0,2020,12,Female16
17,Female,27,0,2020,20,Female17
